iter	Passed	Remaining
0	55	55709
1	56	27992
2	56	18700
3	56	14108
4	57	11362
5	57	9539
6	57	8222
7	58	7229
8	58	6460
9	59	5841
10	59	5337
11	59	4915
12	60	4558
13	60	4252
14	60	3987
15	61	3756
16	61	3552
17	61	3370
18	62	3202
19	62	3057
20	62	2925
21	62	2799
22	63	2694
23	63	2593
24	63	2493
25	64	2408
26	64	2329
27	64	2254
28	65	2184
29	65	2120
30	65	2059
31	66	2002
32	66	1949
33	66	1896
34	67	1848
35	67	1802
36	67	1758
37	67	1715
38	68	1678
39	68	1639
40	68	1606
41	69	1574
42	69	1541
43	69	1512
44	69	1483
45	70	1457
46	70	1433
47	71	1409
48	71	1385
49	71	1363
50	71	1338
51	72	1316
52	72	1296
53	72	1277
54	73	1257
55	73	1240
56	73	1220
57	74	1204
58	74	1187
59	74	1171
60	75	1155
61	75	1141
62	75	1127
63	76	1113
64	76	1100
65	76	1087
66	77	1072
67	77	1060
68	77	1049
69	78	1037
70	78	1027
71	78	1016
72	79	1005
73	79	993
74	79	983
75	80	973
76	80	962
77	80	952
78	81	944
79	81	935
80	81	927
81	81	917
82	82	908
83	82	900
84	82	892
85	83	885
86	83	875
87	83	868
88	84	860
89	84	855
90	84	848
91	85	840
92	85	835
93	85	827
94	86	819
95	86	813
96	86	807
97	87	801
98	87	795
99	87	790
100	88	783
101	88	778
102	89	781
103	90	776
104	90	770
105	90	765
106	91	760
107	92	760
108	92	754
109	92	750
110	93	746
111	93	741
112	94	738
113	94	733
114	94	729
115	95	724
116	95	720
117	95	716
118	96	711
119	96	708
120	96	704
121	97	700
122	97	695
123	97	691
124	98	687
125	98	684
126	99	681
127	99	677
128	99	674
129	100	670
130	100	666
131	100	663
132	101	661
133	101	658
134	102	655
135	102	653
136	103	650
137	103	647
138	104	644
139	104	641
140	104	638
141	105	635
142	105	632
143	105	629
144	106	626
145	106	623
146	107	621
147	107	617
148	107	614
149	107	611
150	108	608
151	108	605
152	108	602
153	109	600
154	109	598
155	110	595
156	110	593
157	110	590
158	111	587
159	111	585
160	111	583
161	112	580
162	112	578
163	113	576
164	113	574
165	113	572
166	114	570
167	114	568
168	115	566
169	115	563
170	115	561
171	116	559
172	116	557
173	117	555
174	117	553
175	117	551
176	118	550
177	118	548
178	119	547
179	119	545
180	120	543
181	120	540
182	120	537
183	120	536
184	121	534
185	121	532
186	122	530
187	122	529
188	122	527
189	123	526
190	124	525
191	124	524
192	125	522
193	125	521
194	126	520
195	126	519
196	127	517
197	127	515
198	127	513
199	128	512
200	128	510
201	129	509
202	129	508
203	129	506
204	130	505
205	130	504
206	131	503
207	132	502
208	132	502
209	133	500
210	133	498
211	133	497
212	134	495
213	134	494
214	135	493
215	135	492
216	135	490
217	136	489
218	136	488
219	137	487
220	137	486
221	138	485
222	139	484
223	139	483
224	140	482
225	140	481
226	141	480
227	141	479
228	142	478
229	142	477
230	142	475
231	143	474
232	143	474
233	144	473
234	144	471
235	145	470
236	145	469
237	146	467
238	146	466
239	147	465
240	147	464
241	148	463
242	148	462
243	149	461
244	149	460
245	150	459
246	150	458
247	150	456
248	151	455
249	151	455
250	152	453
251	152	452
252	152	451
253	153	450
254	153	449
255	154	448
256	154	446
257	154	445
258	155	444
259	155	442
260	155	441
261	156	440
262	156	438
263	156	437
264	157	436
265	157	435
266	158	434
267	158	433
268	159	432
269	159	431
270	160	430
271	160	429
272	161	428
273	161	427
274	161	426
275	162	425
276	162	424
277	163	423
278	163	422
279	164	421
280	164	420
281	164	419
282	165	418
283	165	418
284	166	416
285	166	415
286	167	414
287	167	413
288	167	413
289	168	412
290	168	411
291	169	410
292	169	409
293	169	408
294	170	407
295	170	406
296	171	404
297	171	404
298	172	403
299	172	402
300	172	401
301	173	400
302	173	399
303	174	398
304	174	398
305	175	396
306	175	396
307	175	395
308	176	393
309	176	393
310	177	392
311	177	391
312	178	390
313	178	389
314	178	388
315	179	387
